Course Number,Course Name,Number of Units,Description,Prerequisites
ANTH 187B,Intern Seminar in Ethnography and Archaeology ,2,Seminar complements students research in the Academic Internship Program in ethnography and archaeology at the Museum of Man. Readings and discussions focus on problems in the analysis of material culture and classifications of artifacts and site excavations. Research paper required. ),"ANSC 124 and simultaneous enrollment in AIP 197, Ethnography Archaeology-Museum of Man. Department approval required. (P/NP grades only.)"
ANTH 192,Senior Seminar in Anthropology ,1,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in anthropology (at the upper-division level). Senior Seminars may be offered in all campus departments. Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and consent of the department. Enrollment is limited to twenty students, with preference given to seniors. ",upper-division standing; department stamp and/or consent of instructor.
ANTH 195,Instructional Apprenticeship in Anthropology ,4,"Course gives students experience in teaching of anthropology at the lower-division level. Students, under direction of instructor, lead discussion sections, attend lectures, review course readings, and meet regularly to prepare course materials and to evaluate examinations and papers. Course not counted toward minor or major.P/NP grades only. ","upper-division standing and consent of instructor and department stamp. Received grade of A in course to be taught or equivalent. Student will need to apply for the Undergraduate Instructional Apprentice position through ASES, fulfill the Academic Senate Regulations, and receive the approval of the department, instructor, department chair, and Academic Senate."
ANTH 196A,Honors Studies in Anthropology ,4,Seminar to explore student research interests and methodologies needed to complete Honors Thesis in ANTH 196B. Students will be admitted to the Honors Program by invitation of the department in the spring of their sophomore year. Completion of this course with a grade of at least B+ is a prerequisite to ANTH 196B. ,department approval required.
ANTH 196B,Honors Studies in Anthropology ,4,Independent preparation of a senior thesis under the supervision of a faculty member. Students begin two-quarter sequence in fall quarter. ,completion of ANTH 196A with grade of B+ or better.
ANTH 196C,Thesis Research ,4,"A weekly research seminar where students share, read, and discuss in-depth research findings resulting from ANTH 196A and 196B along with selected background literature used in each individual thesis. Students are also taught how to turn their theses into brief presentations for both specialized and broader audiences. Students will be offered opportunities to present their findings at campus events and outreach events during the quarter. ","ANTH 196A, ANTH 196B."
ANTH 197,Field Studies ,4,"Individually arranged field studies giving practical experience outside the university. Student may take this course twice for credit. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor. )","consent of instructor and upper-division standing with minimum GPA of 2.5, and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 197.)"
ANTH 198,Directed Group Study ,2–4,"Directed group study on a topic or in a field not included in the regular departmental curriculum by special arrangement with a faculty member. Student may take this course twice for credit. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor. )","consent of instructor and upper-division standing with minimum GPA of 2.5, and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 198.)"
ANTH 199,Independent Study ,2–4,"Independent study and research under the direction of a member of the faculty. Student may take this course twice for credit. Please note: majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor. )","consent of instructor and upper-division standing with minimum GPA of 2.5, and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 199.)"
ANAR 100,Special Topics in Anthropological Archaeology ,4,"Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times. ",upper-division standing or consent of instructor.
ANAR 111,Foundations of Archaeology ,4,"As part of the broad discipline of anthropology, archaeology provides the long chronological record needed for investigating human and social evolution. The theories and methods used in this field are examined. (Archaeology core sequence course.) Recommended preparation: ANTH 3. ",upper-division standing.
ANAR 112,Ancient Urbanism ,4,The origins and development of early cities in the Old and New Worlds are compared and contrasted from an archaeological anthropological perspective. ,upper-division standing.
ANAR 118,Archaeology of the UC San Diego Campus ,4,"Our campus houses some of the earliest human settlements in North America. This course reviews the archaeology, climate, and environment of the sites and outlines research aimed at understanding the lives of these early peoples. ",upper-division standing or consent of instructor.
ANAR 119S,Archaeological Field and Lab Class ,8,"The archaeological field and laboratory class will take place at Moquegua, Peru. It is an introduction to the research design of interdisciplinary projects, the technique of data collections, the methods of excavation and postexcavation lab work. Course materials fee may apply. ",upper-division standing or consent of instructor.
ANAR 121A,Cyber-Archaeology and World Digital Cultural Heritage ,4,"Concerns the latest developments in digital data capture, analyses, curation, and dissemination for cultural heritage. Introduction to Geographic Information Systems (GIS), spatial analysis, and digital technologies applied to documentation and promotion of cultural heritage and tourism. Lectures and lab exercises. ",upper-division standing or consent of instructor.
ANAR 124,Archaeology of Asia ,4,"This course explores the archaeology of Asia from the first humans through the rise of state societies. Topics include the environmental setting, pioneer migrations, hunting and gathering societies, plant and animal domestication, and the development of metallurgy, agriculture, technology, trade, and warfare in early civilizations. We consider how ancient political, intellectual, and artistic achievements shape the archaeological heritage in present-day Asia. ",upper-division standing.
ANAR 135S,Ancient Mediterranean Civilization ,8,"Study Abroad program that examines the origins and history of ancient Mediterranean civilizations from the late Neolithic period through the Classical era. During the course, students will visit some of the most important archaeological sites in the world, from the ancient megalithic temples of Malta, to Phoenician colonies of the early Iron Age, to the Carthaginian and Greek cities of Sicily, and ending with Roman Pompeii and Herculaneum, destroyed by the eruption of Vesuvius in AD 79. Students are required to apply for this Study Abroad course. Program or material fee may apply. ",upper-division standing. Department approval required.
ANAR 138,Mesopotamia: The Emergence of Civilization ,4,This course explores in detail the rise of the world's earliest cities and states in Mesopotamia and the ancient Near East during the fourth millennium B.C. ,upper-division standing.
ANAR 141,Prehistory of the Holy Land ,4,Israel is a land-bridge between Africa and Asia. Course highlights the prehistory of the Levant and its interconnections from the Paleolithic to the rise of the earliest cities in anthropological perspective. ,upper-division standing.
ANAR 142,The Rise and Fall of Ancient Israel ,4,"The emergence and consolidation of the state in ancient Israel is explored by using archaeological data, biblical texts, and anthropological theories. The social and economic processes responsible for the rise and collapse of ancient Israel are investigated. Recommended preparation: ANTH 3. ",upper-division standing.
ANAR 143,"Archaeology, Anthropology, and the Bible ",4,"The relationship between archaeological data, historical research, the Hebrew Bible, and anthropological theory are explored along with new methods and current debates in Levantine archaeology. ",upper-division standing.
ANAR 144,"Pharaohs, Mummies, and Pyramids: Introduction to Egyptology ",4,"An introductory survey of the archaeology, history, art, and architecture of ancient Egypt that focuses on the men and women who shaped Western civilization. ",upper-division standing.
ANAR 145S,Study Abroad: Egypt of the Pharaohs ,4,"Introduction to the archaeology, history, art, architecture, and hieroglyphs of ancient Egypt. Taught in the field through visits to important temples, pyramids, palaces, and museums in Egypt. Complementary to ANAR 144.Course/program fee may apply. ",consent of instructor only.
ANAR 153,The Mysterious Maya ,4,"The archaeology, anthropology, and history of the Maya civilization, which thrived in Mexico and Central America from 1000 BC, until the Spanish conquest.",upper-division standing.
ANAR 154,The Aztecs and their Ancestors ,4,"Introduction to the archaeology of the ancient culture of Mexico from the early Olmec culture through the Postclassic Aztec, Tarascan, Zapotec, and Mixtec states. Agriculture; trade and exchange; political and social organization; kinship networks; religious system, ideology, and worldviews. ",upper-division standing.
ANAR 155S,Study Abroad: Ancient Mesoamerica ,4,"Introduction to archaeology of Mesoamerica, taught through visits to important ancient cities and museums of Mexico and Central America. Complementary to ANAR 154. Itinerary and subject will vary, so course may be taken more than once. Course/program fee may apply. ",consent of instructor only. (Formerly known as ANRG 106.) Credit not allowed for both ANRG 106 and ANAR 155S.
ANAR 156,The Archaeology of South America ,4,This course will examine archaeological evidence for the development of societies in the South American continent. From the initial arrival of populations through to the Inca period and the arrival of the Spaniards. ,upper-division standing.
ANAR 157,Early Empires of the Andes: The Middle Horizon ,4,"The civilizations of Wari and Tiwanaku built the first empires of Andean South America long before the Inca. Middle Horizon (AD 5001000) mythohistory, urbanism, state origins, art, technology, agriculture, colonization, trade, and conquest are explored using ethnohistory and archaeological sources. Students may not receive credit for both ANAR 157S and ANAR 157. ",upper-division standing or consent of instructor.
ANAR 157S,Early Empires of the Andes: The Middle Horizon ,4,"The civilizations of Wari and Tiwanaku built the first empires of Andean South America long before the Inca. Middle Horizon (AD 5001000) mythohistory, urbanism, state origins, art, technology, agriculture, colonization, trade, and conquest are explored using ethnohistory and archaeological sources. Course is offered during summer Study Abroad. Students may not receive credit for both ANAR 157 and ANAR 157S. ",upper-division standing or consent of instructor.
ANAR 158,The Inca: Empire of the Andes ,4,"The history and culture of the Inca Empire of South America and its fatal encounter with the West. Archaeological excavations, accounts from the sixteenth and seventeenth centuries, and ethnographies of present-day peoples of the Andes are explored. ",upper-division standing or consent of instructor.
ANAR 160,Ancient Maya: Archaeological Problems and Perspectives ,4,"This course considers in detail a particular region or archaeological site within the Maya area.Content will cover primary literature on Maya archaeology, epigraphy, and art history. Course content will vary based on the specific region/site. May be taken for credit three times. ",upper-division standing and ANAR 153. Graduate students wishing to enroll should have already taken ANTH 202.
ANAR 165,Marine and Coastal Archaeology and the Biblical Seas ,4,"This course will follow the interaction between humans and the sea in cultures that formed the biblical world of the second and first millennium BCE: the Canaanites, Israelites, Egyptians, Phoenicians, Philistines, and cultures of the Aegean Sea. Themes discussed will be maritime matters in the Canaanite and biblical narrative, key discoveries in maritime coastal archaeology of the eastern Mediterranean, shipwrecks: Canaanite, Phoenician, and Aegean, Egyptian ports, and Egyptian sea adventures. ",upper-division standing.
ANAR 170,Research Design in Anthropological Archaeology ,4,"This course trains students to design, implement, and conduct research in anthropological archaeology. Writing and presenting work in progress will take place in a seminar-like forum. ",upper-division standing.
ANAR 180,Archaeology Workshop ,4,"This course examines the ways in which archaeologists study ancient artifacts, contexts, and their distribution in time and space to interpret ancient cultures. It will cover basic techniques of collections and field research with particular concentration on the quantitative contextual, spatial, stylistic, and technological analyses of artifacts and ecofacts from ongoing UC San Diego field projects in archaeology. ",department approval required.
ANAR 181,The Archaeology of Hunters-Gatherers ,4,"Course examines current theoretical issues in the field of hunter-gatherer archaeology. Considerable emphasis is given to ethnographic and ethno-archaeological sources for understanding such topics as prehistoric hunter-gatherer adaptations, culture change, social organization, and intergroup interaction. Recommended preparation: ANTH 3. ",upper-division standing.
ANAR 182,Origins of Agriculture and Sedentism ,4,Varying theoretical models and available archaeological evidence are examined to illuminate the socio-evolutionary transition from nomadic hunter-gathering groups to fully sedentary agricultural societies in the Old and New Worlds. Archaeology concentration course. Recommended preparation: ANTH 3. ,upper-division standing.
ANAR 183,"Chiefdoms, States, and the Emergence of Civilizations ",4,The course focuses on theoretical models for the evolution of complex societies and on archaeological evidence for the development of various pre- and protohistoric states in selected areas of the Old and New Worlds. Archaeology concentration course. Recommended preparation: ANTH 3. ,upper-division standing.
ANAR 184,Empires in Archaeological Perspective ,4,"In what ways were ancient empires different from modern ones? We discuss theories of imperialism and examine cross-cultural similarities and differences in the strategies ancient empires used to expand and explore how they produced, acquired, and distributed wealth. ",upper-division standing.
ANAR 185,Middle East Desert Cultural Ecology ,4,The course uses a comparative perspective to examine changes in how human societies organized themselves after the end of the last Ice Age across the world and the impact that those changes had on the planets natural environment. ,upper-division standing.
ANAR 186,The Human Era: The Archaeology of the Anthropocene ,4,"The archaeological field school will take place in the eastern Mediterranean region. It is an introduction to the design of research projects, the techniques of data collection, and the methods of excavation. Includes post-excavation lab work, study trips, and field journal. Program or material fee may apply. ",upper-division standing or consent of instructor.
ANAR 190,Eastern Mediterranean Archaeological Field School ,12,"Students learn advanced field methods in cyber-archaeology and excavation. Includes 3-D data capture tools and processing, digital photography, construction of research designs, cyber-infrastructure. Takes place in the eastern Mediterranean region. Program or material fee may apply. ",upper-division standing and consent of instructor.
ANAR 191,Advanced Cyber-Archaeology Field School ,12,"Course usually taught by visiting faculty in biological anthropology. Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times as topics vary. ",upper-division standing.
ANBI 100,Special Topics in Biological Anthropology ,4,"A weekly forum for presentation and discussion of work in anthropology and cognitive neuroscience by faculty, students, and guest speakers. P/NP only. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. ",upper-division standing.
ANBI 109,Brain Mind Workshop ,2,Major stages of human evolution including the fossil evidence for biological and cultural changes through time. ,upper-division standing.
ANBI 111,Human Evolution ,4,Cytoarchitecture reveals the fundamental structural organization of the human brain and stereology extracts quantitative information in a three dimensional space. Students will learn the principles of both fields and their applications. ,"upper-division standing, ANBI 140, and consent of instructor."
ANBI 112,Methods in Human Comparative Neuroscience ,4,"Primate (and other vertebrate) conservation involves a variety of methods: field (e.g., population and habitat assessment), computer (e.g., population genetic models), and increasingly the web (e.g. interactive GIS and databases). Course takes problem-solving approach to learning some of these methods. ",upper-division standing.
ANBI 114,Methods in Primate Conservation ,4,This course examines how human sexuality evolved and how it is similar/dissimilar to that of other primates. The topics include the evolution of mating strategies and parenting strategies including the role of sexual selection and how hormones control these behaviors. ,upper-division standing.
ANBI 116,Human Sexuality in an Evolutionary Perspective ,4,"All human endeavors are subject to human biases. Well cover several issues that are subject to such biases: race concept; transfer of human remains to Native American tribal members; nonhuman primate testing; and use of human materials, including cell lines. ",upper-division standing.
ANBI 120,Ethical Dilemmas in Biological Anthropology ,4,"Biological and health consequences of racial and social inequalities. Psychosocial stress and measurement of health impact. Effects on disease and precursors to disease, including measures of molecular biology (e.g., epigenetics, gene expression), and biomarkers of inflammation, cardiometabolic health, and immune function. ",upper-division standing.
ANBI 130,Biology of Inequality ,4,"This course examines conceptions of race from both evolutionary and sociocultural perspectives. We will examine current patterns of human genetic variation and critically determine how these patterns map onto current and historic conceptions of race in the United States, and abroad. We will also explore the social construction of race throughout US history, the use of racial categories in biomedicine today, and consequences of racism and discrimination on health. ",upper-division standing.
ANBI 131,Biology and Culture of Race ,4,"Interdisciplinary discussion of the human predicament, biodiversity crisis, and importance of biological conservation. Examines issues from biological, cultural, historical, economic, social, political, and ethical perspectives emphasizing new approaches and new techniques for safeguarding the future of humans and other biosphere inhabitants. ",upper-division standing or consent of instructor.
ANBI 132,Conservation and the Human Predicament ,4,"The great apes are our closest living relatives and their ecology and evolution provide insights for human evolutionary history and perhaps ideas about how to coexist with them. The course examines the natural history, behavior, ecology, and life history of each of the great apes including: orangutans, gorillas, bonobos, and chimpanzees. We will also consider conservation issues facing wild great apes, the welfare of apes in captivity, and ethical debates on ape personhood. ",upper-division standing.
ANBI 133,Planet of the Apes: Evolution and Ecology of the Great Ape ,4,"This course explores how genetic data can be used to address core issues in human evolution. We will reconstruct population history and explore sources of human genetic diversity, such as migration and selection, based on studies of modern and ancient DNA. Through critical evaluation of recent publications, we will discuss the molecular evidence for the origin of modern humans, race, reconstruction of key human migrations, interactions with the environment, and implications for disease. May be coscheduled with ANTH 264. ",upper-division standing.
ANBI 134,Human Evolutionary Genetics ,4,"This course provides hands-on experience with the latest molecular techniques as applied to questions of anthropological and human genetic interest. Students will isolate their own DNA and generate DNA sequence data. They will also measure and analyze the percent of DNA methylation at certain regions of their own genomes. We will also discuss measurement of other nongenetic biomarkers that can be incorporated into anthropological research of living populations, e.g., cortisol measures. ",upper-division standing.
ANBI 135,Genetic Anthropology Lab Techniques ,4,Introduction to the organization of the brain of humans and apes. Overview of the theoretical perspectives on the evolution of the primate cortex and limbic system. Exposure to contemporary techniques applied to the comparative study of the hominoid brain. ,upper-division standing.
ANBI 140,The Evolution of the Human Brain ,4,"The genotype of our ancestors had no agriculture or animal domestication, or rudimentary technology. Our modern diet contributes to heart disease, cancers, and diabetes. This course will outline the natural diet of primates and compare it with early human diets. ",upper-division standing.
ANBI 141,The Evolution of Human Diet ,4,"Learn the bones of your body; how bone pairs differ even within the body, between men, women, ethnic groups; and how nutrition and disease affect them. Course examines each bone and its relation with other bones and muscles that allow your movements. ",upper-division standing.
ANBI 143,The Human Skeleton ,4,This course will introduce students to the internal structure of the human body through dissection tutorials on CD-ROM. ,upper-division standing.
ANBI 144,Human Anatomy ,4,"How are skeletal remains used to reconstruct human livelihoods throughout prehistory? The effects of growth, use, and pathology on morphology and the ways that skeletal remains are understood and interpreted by contemporary schools of thought. Recommend related course in human anatomy. ",upper-division standing.
ANBI 145,Bioarchaeology ,4,"The stable isotopes of carbon, nitrogen, oxygen, and hydrogen in animal tissues, plant tissues, and soils indicate aspects of diet and ecology. The course will introduce students to this approach for reconstructing paleo-diet, paleo-ecology, and paleo-climate. ",upper-division standing.
ANBI 146,Stable Isotopes in Ecology ,4,"The course examines various behaviors (e.g., group formation, dispersal, parenting, coalition formation) from a comparative and evolutionary perspective. Observational methodology and analytical methods will also be discussed. Attendance in lab sections is required. ",upper-division standing.
ANBI 148,"Not by Genes Alone: Evolution, Behavior, and Ecology ",4,"Attitudes toward other individuals (and species) are often shaped by their apparent intelligence. This course discusses the significance of brain size/complexity, I.Q. tests, communication in marine mammals and apes, complex behavioral tactics, and the evolution of intelligence. ",upper-division standing.
ANBI 159,Biological and Cultural Perspectives on Intelligence ,4,"The last divide between humans and other animals is in the area of cognition. A comparative perspective to explore recent radical reinterpretations of the cognitive abilities of different primate species, including humans and their implications for the construction of evolutionary scenarios. ",upper-division standing.
ANBI 173,How Monkeys See the World ,4,"Models of human evolution combine science and myth. This course examines methods used in reconstructions of human evolution. Models such as man the hunter and woman the gatherer are examined in light of underlying assumptions, and cultural ideals. ",upper-division standing.
ANBI 175,Paleofantasy: The Evidence for Our Early Ancestors ,4,"Seminar complements students research in the Academic Internship Program in physical anthropology at the Museum of Man. Readings and discussions focus on anatomy, pathology, and classification and X-ray analysis of skeletal remains. Research paper required. )","ANTH 2 (or equivalent) and 3.3 GPA, simultaneous enrollment in AIP 197, Physical Anthropology-Museum of Man. Department approval required. (P/NP grades only.)"
ANBI 187A,Intern Seminar in Physical Anthropology ,2,Seminar complements students research in the Academic Internship Program at the San Diego Zoo Safari Park and/or Zoo. Focus on problems of analysis in observational study of animal behavior and conservation in relation to ethological studies. Research paper required. ),"ANTH 2 (or equivalent) and any of the following: ANBI 116, 148, 159, 175; BIEB 164, 165, 166, 167. Upper-division standing and minimum 3.3 GPA. Simultaneous enrollment in AIP 197, Ethology Zoo. Department approval required. (P/NP grades only.)"
ANBI 187C,Intern Seminar in Ethology ,2,"Examines aging as process of human development, from local and global perspectives. Focuses on the interrelationships of social, cultural, psychological, and health factors that shape the experience and well-being of aging populations. Students explore the challenges and wisdom of aging. ",upper-division standing.
ANSC 100,Special Topics in Sociocultural Anthropology ,4,"Why is there variation of health outcomes across the world? We will discuss health and illness in context of culture and address concerns in cross-national health variations by comparing healthcare systems in developed, underdeveloped, and developing countries. Study the role of socioeconomic and political change in determining health outcomes and examine social health determinants in contemporary global health problems: multidrug resistance to antibiotics, gender violence, human trafficking, etc. ",Freshmen and sophomores cannot enroll without consent of the instructor.
ANSC 101,Aging: Culture and Health in Late Life Human Development ,4,"Why is there variation of health outcomes across the world? We will discuss health and illness in context of culture and address concerns in cross-national health variations by comparing healthcare systems in developed, underdeveloped, and developing countries. Study the role of socioeconomic and political change in determining health outcomes and examine social health determinants in contemporary global health problems: multidrug resistance to antibiotics, gender violence, and human trafficking, etc. ",ANTH 21 or ANTH 23. Students must apply to the Study Abroad UC San Diego program online at anthro.ucsd.edu.
ANSC 105,Global Health and Inequality ,4,"Drawing on medical anthropology ethnography, students will explore a variety of forms of healing among rural and urban indigenous communities. A particular focus on intercultural health will allow the students to analyze contemporary medical landscapes where patients encounter indigenous and Western medicine. Students will learn about the complexities of urban and rural indigenous healing settings and their sociopolitical significance in contexts of state biomedical interventions. ",ANTH 21 or ANTH 23. Freshmen and sophomores cannot enroll without consent of the instructor.
ANSC 105S,Global Health and Inequality–Study Abroad ,4,"Drawing on medical anthropology ethnography, students will explore a variety of forms of healing among rural and urban indigenous communities. A particular focus on intercultural health will allow the students to analyze contemporary medical landscapes where patients encounter indigenous and Western medicine. Students will learn about the complexities of urban and rural indigenous healing settings and their sociopolitical significance in contexts of state biomedical interventions. ",ANTH 21 or ANTH 23. Students must apply to the Study Abroad UC San Diego program online at anthro.ucsd.edu.
ANSC 106,Global Health: Indigenous Medicines in Latin America ,4,"This course will provide an anthropological perspective on Chinese culture in Taiwan from its earliest settlement to the present, including distinctive Taiwanese variants of traditional Chinese marriage and family life, institutions, festivals, agricultural practices, etc. ",upper-division standing.
ANSC 106S,Global Health: Indigenous Medicines in Latin America—Study Abroad ,4,"Young people draw on language as well as clothing and music to display identities in contemporary societies. We examine the relation of language to race, class, gender, and ethnicity in youth identity construction, especially in multilingual and multiracial societies. ",upper-division standing.
ANSC 111,The Chinese Heritage in Taiwan ,4,"An introduction to the languages and cultures of speakers of the Mayan family of languages, with emphasis on linguistic structures, ethnography, and the social history of the region. The course will concentrate on linguistic and ethnographic literature of a single language or sub-branch, emphasizing commonalities with the family and region as a whole. ",upper-division standing.
ANSC 113,"Language, Style, and Youth Identities ",4,"A critical introduction to the study of cultural patterns of thought, action, and expression, in relation to language. Topics include semiotics and structuralism, cognition and categorization, universal vs. particulars, and ethnopoetics. ",upper-division standing or consent of instructor.
ANSC 116,Languages of the Americas: Mayan ,4,"An introduction to the study of cultural patterns of thought, action, and expression, in relation to language. We consider comparatively semiotics and structuralism, cognition and categorization, universals versus particulars, ideologies of stasis and change, cultural reconstruction, and ethnopoetics. ",upper-division standing.
ANSC 117GS,Language and ,4,"The course is an introduction to a flourishing area of research that connects linguistic communication to alternate and complementary modalitiesmanual gesticulation, the face, the body, and aspects of the lived environment (spaces, tools, artifacts). )",upper-division standing. (Credit not allowed for both ANSC 119GS and ANSC 119.)
ANSC 118,Language and Culture ,4,"A critical examination of research connecting language to alternate complementary modalitiesthe hands, face, body, and aspects of ""lived environments"" (spaces, tools, artifacts). Program or material fee may apply. ",upper-division standing or consent of instructor. Students must apply and be accepted to the Global Seminar Program.
ANSC 119,"Gesture, Communication, and the Body ",4,"Explores religious life in various cultures. Topics addressed include the problem of religious meaning, psychocultural aspects of religious experience, religious conversion and revitalization, contrasts between traditional and world religions, religion and social change. ",upper-division standing.
