Course Number,Course Name,Number of Units,Description,Prerequisites
MATH 20B,Calculus for Science and Engineering ,4,"Integral calculus of one variable and its applications, with exponential, logarithmic, hyperbolic, and trigonometric functions. Methods of integration. Infinite series. Polar coordinates in the plane and complex exponentials. (Two units of credits given if taken after Math 1B/10B or Math 1C/10C.) "," AP Calculus AB score of 4 or 5, or AP Calculus BC score of 3, or Math 20A with a grade of C or better, or Math 10B with a grade of C or better, or Math 10C with a grade of C or better."
MATH 20C,Calculus and Analytic Geometry for Science and Engineering ,4,"Vector geometry, vector functions and their derivatives. Partial differentiation. Maxima and minima. Double integration. (Two units of credit given if taken after Math 10C. Credit not offered for both Math 20C and 31BH. Formerly numbered Math 21C.) "," AP Calculus BC score of 4 or 5, or Math 20B with a grade of C or better."
MATH 20D,Introduction to Differential Equations ,4,"Ordinary differential equations: exact, separable, and linear; constant coefficients, undetermined coefficients, variations of parameters. Systems. Series solutions. Laplace transforms. Techniques for engineering sciences. Computing symbolic and graphical solutions using Matlab. (Formerly numbered Math 21D.) May be taken as repeat credit for Math 21D. ", Math 20C (or Math 21C) or Math 31BH with a grade of C or better.
MATH 20E,Vector Calculus ,4,"Change of variable in multiple integrals, Jacobian, Line integrals, Greens theorem. Vector fields, gradient fields, divergence, curl. Spherical/cylindrical coordinates. Taylor series in several variables. Surface integrals, Stokes theorem. Gauss theorem. Conservative fields. ", Math 18 or Math 20F or Math 31AH and Math 20C (or Math 21C) or Math 31BH with a grade of C or better.
MATH 31AH,Honors Linear Algebra ,4,"First quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include: real/complex number systems, vector spaces, linear transformations, bases and dimension, change of basis, eigenvalues, eigenvectors, diagonalization. (Credit not offered for both Math 31AH and 20F.) ", AP Calculus BC score of 5 or consent of instructor.
MATH 31BH,Honors Multivariable Calculus ,4,"Second quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include: derivative in several variables, Jacobian matrices, extrema and constrained extrema, integration in several variables. (Credit not offered for both Math 31BH and 20C.) "," Math 31AH with a grade of B or better, or consent of instructor."
MATH 31CH,Honors Vector Calculus ,4,"Third quarter of honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include: change of variables formula, integration of differential forms, exterior derivative, generalized Stokes theorem, conservative vector fields, potentials. "," Math 31BH with a grade of B or better, or consent of instructor."
MATH 87,Freshman Seminar ,1,"The Freshman Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman Seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering freshman. ", none.
MATH 95,Introduction to Teaching Math ,2,(Cross-listed with EDS 30.) Revisit students learning difficulties in mathematics in more depth to prepare students to make meaningful observations of how K12 teachers deal with these difficulties. Explore how instruction can use students knowledge to pose problems that stimulate students intellectual curiosity. , none.
MATH 96,Putnam Seminar ,1,"Students will develop skills in analytical thinking as they solve and present solutions to challenging mathematical problems in preparation for the William Lowell Putnam Mathematics Competition, a national undergraduate mathematics examination held each year. Students must sit for at least one half of the Putnam exam (given the first Saturday in December) to receive a passing grade. P/NP grades only. May be taken for credit up to four times."," AP Calculus AB score of 4 or more, or AP Calculus BC score of 3 or more, or Math 20A."
MATH 99R,Independent Study ,1,Independent study or research under direction of a member of the faculty. , Must be of first-year standing and a Regents Scholar.
MATH 100A,Abstract Algebra I ,4,"First course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include: groups, subgroups and factor groups, homomorphisms, rings, fields. (Students may not receive credit for both Math 100A and Math 103A.) ", Math 31CH or Math 109 or consent of instructor.
MATH 100B,Abstract Algebra II ,4,"Second course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include: rings (especially polynomial rings) and ideals, unique factorization, fields; linear algebra from perspective of linear transformations on vector spaces, including inner product spaces, determinants, diagonalization. (Students may not receive credit for both Math 100B and Math 103B.) ", Math 100A or consent of instructor.
MATH 100C,Abstract Algebra III ,4,"Third course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include: linear transformations, including Jordan canonical form and rational canonical form; Galois theory, including the insolvability of the quintic. ", Math 100B or consent of instructor.
MATH 102,Applied Linear Algebra ,4,"Second course in linear algebra from a computational yet geometric point of view. Elementary Hermitian matrices, Schurs theorem, normal matrices, and quadratic forms. Moore-Penrose generalized inverse and least square problems. Vector and matrix norms. Characteristic and singular values. Canonical forms. Determinants and multilinear algebra. ", Math 18 or Math 20F or Math 31AH and Math 20C. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 103A,Modern Algebra I ,4,"First course in a two-quarter introduction to abstract algebra with some applications. Emphasis on group theory. Topics include: definitions and basic properties of groups, properties of isomorphisms, subgroups. (Students may not receive credit for both Math 100A and Math 103A.) ", Math 31CH or Math 109 or consent of instructor.
MATH 103B,Modern Algebra II ,4,"Second course in a two-quarter introduction to abstract algebra with some applications. Emphasis on rings and fields. Topics include: definitions and basic properties of rings, fields, and ideals, homomorphisms, irreducibility of polynomials. (Students may not receive credit for both Math 100B and Math 103B.) ", Math 103A or Math 100A or consent of instructor.
MATH 104A,Number Theory I ,4,"Elementary number theory with applications. Topics include unique factorization, irrational numbers, residue systems, congruences, primitive roots, reciprocity laws, quadratic forms, arithmetic functions, partitions, Diophantine equations, distribution of primes. Applications include fast Fourier transform, signal processing, codes, cryptography. "," Math 109 or Math 31CH, or consent of instructor."
MATH 104B,Number Theory II ,4,"Topics in number theory such as finite fields, continued fractions, Diophantine equations, character sums, zeta and theta functions, prime number theorem, algebraic integers, quadratic and cyclotomic fields, prime ideal theory, class number, quadratic forms, units, Diophantine approximation, p-adic numbers, elliptic curves. ", Math 104A or consent of instructor.
MATH 104C,Number Theory III ,4,"Topics in algebraic and analytic number theory, with an advanced treatment of material listed for Math 104B. ", Math 104B or consent of instructor.
MATH 109,Mathematical Reasoning ,4,"This course uses a variety of topics in mathematics to introduce the students to rigorous mathematical proof, emphasizing quantifiers, induction, negation, proof by contradiction, naive set theory, equivalence relations and epsilon-delta proofs. Required of all departmental majors. "," Math 18 or Math 20F or Math 31AH, and Math 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 110A,Introduction to Partial Differential Equations ,4,"Fourier series, orthogonal expansions, and eigenvalue problems. Sturm-Liouville theory. Separation of variables for partial differential equations of mathematical physics, including topics on Bessel functions and Legendre polynomials. Formerly Math 110. (Students may not receive credit for Math 110A and Math 110.) ", Math 20D and either Math 18 or Math 20F or Math 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 110B,Elements of Partial Differential Equations and Integral Equations ,4,"Basic concepts and classification of partial differential equations. First order equations, characteristics. Hamilton-Jacobi theory, Laplaces equation, wave equation, heat equation. Separation of variables, eigenfunction expansions, existence and uniqueness of solutions. (Formerly Math 132A. Students may not receive credit for Math 110B and Math 132A.) ", Math 110A or consent of instructor.
MATH 111A,Mathematical Modeling I ,4,"An introduction to mathematical modeling in the physical and social sciences. Topics vary, but have included mathematical models for epidemics, chemical reactions, political organizations, magnets, economic mobility, and geographical distributions of species. May be taken for credit two times when topics change. "," Math 20D and Math 18 or Math 20F or Math 31AH, and Math 109, or consent of instructor."
MATH 111B,Mathematical Modeling II ,4,"Continued study on mathematical modeling in the physical and social sciences, using advanced techniques that will expand upon the topics selected and further the mathematical theory presented in Math 111A. ", Math 111A or consent of instructor.
MATH 120A,Elements of Complex Analysis ,4,"Complex numbers and functions. Analytic functions, harmonic functions, elementary conformal mappings. Complex integration. Power series. Cauchys theorem. Cauchys formula. Residue theorem. "," Math 20E or Math 31CH, or consent of instructor."
MATH 120B,Applied Complex Analysis ,4,"Applications of the residue theorem. Conformal mapping and applications to potential theory, flows, and temperature distributions. Fourier transformations. Laplace transformations, and applications to integral and differential equations. Selected topics such as Poissons formula, Dirichlets problem, Neumanns problem, or special functions. ", Math 120A or consent of instructor.
MATH 121A,Foundations of Teaching and Learning Mathematics I ,4,"(Cross-listed with EDS 121A.) Develop teachers knowledge base (knowledge of mathematics content, pedagogy, and student learning) in the context of advanced mathematics. This course builds on the previous courses where these components of knowledge were addressed exclusively in the context of high-school mathematics. "," EDS 30/Math 95, Calculus 10C or 20C."
MATH 121B,Foundations of Teaching and Learning Math II ,4,(Cross-listed with EDS 121B.) Examine how learning theories can consolidate observations about conceptual development with the individual student as well as the development of knowledge in the history of mathematics. Examine how teaching theories explain the effect of teaching approaches addressed in the previous courses. , EDS 121A/Math 121A.
MATH 130A,Ordinary Differential Equations I ,4,"Linear and nonlinear systems of differential equations. Stability theory, perturbation theory. Applications and introduction to numerical solutions. ", Math 20D and either Math 18 or Math 20F or Math 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 130B,Ordinary Differential Equations II ,4,Existence and uniqueness of solutions to differential equations. Local and global theorems of continuity and differentiability. , Math 130A or consent of instructor.
MATH 140A,Foundations of Real Analysis I ,4,"First course in a rigorous three-quarter sequence on real analysis. Topics include: the real number system, basic topology, numerical sequences and series, continuity. (Students may not receive credit for both Math 140A and Math 142A.) "," Math 31CH or Math 109, or consent of instructor."
MATH 140B,Foundations of Real Analysis II ,4,"Second course in a rigorous three-quarter sequence on real analysis. Topics include: differentiation, the Riemann-Stieltjes integral, sequences and series of functions, power series, Fourier series, and special functions. (Students may not receive credit for both Math 140B and Math 142B.) ", Math 140A or consent of instructor.
MATH 140C,Foundations of Real Analysis III ,4,"Third course in a rigorous three-quarter sequence on real analysis. Topics include: differentiation of functions of several real variables, the implicit and inverse function theorems, the Lebesgue integral, infinite-dimensional normed spaces. ", Math 140B or consent of instructor.
MATH 142A,Introduction to Analysis I ,4,"First course in an introductory two-quarter sequence on analysis. Topics include: the real number system, numerical sequences and series, limits of functions, continuity. (Students may not receive credit for both Math 140 and Math 142A.) "," Math 31CH or Math 109, or consent of instructor."
MATH 142B,Introduction to Analysis II ,4,"Second course in an introductory two-quarter sequence on analysis. Topics include: differentiation, the Rieman integral, sequences and series of functions, uniform convergence, Taylor and Fourier series, special functions. (Students may not receive credit for both Math 140B and Math 142B.) "," Math 142A or Math 140A, or consent of instructor."
MATH 150A,Differential Geometry ,4,"Differential geometry of curves and surfaces. Gauss and mean curvatures, geodesics, parallel displacement, Gauss-Bonnet theorem. ", Math 20E and either Math 18 or Math 20F or Math 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 150B,Calculus on Manifolds ,4,"Calculus of functions of several variables, inverse function theorem. Further topics may include exterior differential forms, Stokes theorem, manifolds, Sards theorem, elements of differential topology, singularities of maps, catastrophes, further topics in differential geometry, topics in geometry of physics. ", Math 150A or consent of instructor.
MATH 152,Applicable Mathematics and Computing ,4,"This course will give students experience in applying theory to real world applications such as Internet and wireless communication problems. The course will incorporate talks by experts from industry and students will be helped to carry out independent projects. Topics include graph visualization, labelling, and embeddings, random graphs and randomized algorithms. May be taken for credit three times. ", Math 20D and either Math 18 or Math 20F or Math 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 153,Geometry for Secondary Teachers ,4,Two- and three-dimensional Euclidean geometry is developed from one set of axioms. Pedagogical issues will emerge from the mathematics and be addressed using current research in teaching and learning geometry. This course is designed for prospective secondary school mathematics teachers. ," Math 109 or Math 31CH, or consent of instructor."
MATH 154,Discrete Mathematics and Graph Theory ,4,"Basic concepts in graph theory. Combinatorial tools, structures in graphs (Hamiltonian cycles, perfect matching). Properties of graphics and applications in basic algorithmic problems (planarity, k-colorability, traveling salesman problem). "," Math 109 or Math 31CH, or consent of instructor."
MATH 155A,Geometric Computer Graphics ,4,"Bezier curves and control lines, de Casteljau construction for subdivision, elevation of degree, control points of Hermite curves, barycentric coordinates, rational curves. Programming knowledge recommended. (Students may not receive credit for both Math 155A and CSE 167.) "," Math 18 or Math 20F or Math 31AH, and Math 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 155B,Topics in Computer Graphics ,4,"Spline curves, NURBS, knot insertion, spline interpolation, illumination models, radiosity, and ray tracing. ", Math 155A. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 160A,Elementary Mathematical Logic I ,4,"An introduction to recursion theory, set theory, proof theory, model theory. Turing machines. Undecidability of arithmetic and predicate logic. Proof by induction and definition by recursion. Cardinal and ordinal numbers. Completeness and compactness theorems for propositional and predicate calculi. "," Math 100A, or Math 103A, or Math 140A, or consent of instructor."
MATH 160B,Elementary Mathematical Logic II ,4,"A continuation of recursion theory, set theory, proof theory, model theory. Turing machines. Undecidability of arithmetic and predicate logic. Proof by induction and definition by recursion. Cardinal and ordinal numbers. Completeness and compactness theorems for propositional and predicate calculi. ", Math 160A or consent of instructor.
MATH 163,History of Mathematics ,4,"Topics will vary from year to year in areas of mathematics and their development. Topics may include the evolution of mathematics from the Babylonian period to the eighteenth century using original sources, a history of the foundations of mathematics and the development of modern mathematics. ", Math 20B or consent of instructor.
MATH 168A,Topics in Applied MathematicsComputer Science ,4,Topics to be chosen in areas of applied mathematics and mathematical aspects of computer science. May be taken for credit two times with different topics. ," Math 18 or Math 20F or Math 31AH, and Math 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 170A,Introduction to Numerical Analysis: Linear Algebra ,4,Analysis of numerical methods for linear algebraic systems and least squares problems. Orthogonalization methods. Ill conditioned problems. Eigenvalue and singular value computations. Knowledge of programming recommended. ," Math 18 or Math 20F or Math 31AH, and Math 20C. Students who have not completed the listed prerequisites may enroll with consent of instructor."
MATH 170B,Introduction to Numerical Analysis: Approximation and Nonlinear Equations ,4,Rounding and discretization errors. Calculation of roots of polynomials and nonlinear equations. Interpolation. Approximation of functions. Knowledge of programming recommended. , Math 170A.
MATH 170C,Introduction to Numerical Analysis: Ordinary Differential Equations ,4,Numerical differentiation and integration. Ordinary differential equations and their numerical solution. Basic existence and stability theory. Difference equations. Boundary value problems. ," Math 20D or 21D and Math 170B, or consent of instructor."
MATH 171A,Introduction to Numerical Optimization: Linear Programming ,4,"Linear optimization and applications. Linear programming, the simplex method, duality. Selected topics from integer programming, network flows, transportation problems, inventory problems, and other applications. Three lectures, one recitation. Knowledge of programming recommended. (Credit not allowed for both Math 171A and Econ 172A.) "," Math 18 or Math 20F or Math 31AH, and Math 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 171B,Introduction to Numerical Optimization: Nonlinear Programming ,4,"Convergence of sequences in Rn, multivariate Taylor series. Bisection and related methods for nonlinear equations in one variable. Newtons methods for nonlinear equations in one and many variables. Unconstrained optimization and Newtons method. Equality-constrained optimization, Kuhn-Tucker theorem. Inequality-constrained optimization. Three lectures, one recitation. Knowledge of programming recommended. (Credit not allowed for both Math 171B and Econ 172B.) ", Math 171A or consent of instructor.
MATH 173A,Optimization Methods for Data Science I ,4,"Introduction to convexity: convex sets, convex functions; geometry of hyperplanes; support functions for convex sets; hyperplanes and support vector machines. Linear and quadratic programming: optimality conditions; duality; primal and dual forms of linear support vector machines; active-set methods; interior methods. ", Math 20C or Math 31BH and Math 20F or 31AH. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 173B,Optimization Methods for Data Science II ,4,Unconstrained optimization: linear least squares; randomized linear least squares; method(s) of steepest descent; line-search methods; conjugate-gradient method; comparing the efficiency of methods; randomized/stochastic methods; nonlinear least squares; norm minimization methods. Convex constrained optimization: optimality conditions; convex programming; Lagrangian relaxation; the method of multipliers; the alternating direction method of multipliers; minimizing combinations of norms. , Math 173A. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 174,Numerical Methods for Physical Modeling ,4,"(Conjoined with Math 274.) Floating point arithmetic, direct and iterative solution of linear equations, iterative solution of nonlinear equations, optimization, approximation theory, interpolation, quadrature, numerical methods for initial and boundary value problems in ordinary differential equations. (Students may not receive credit for both Math 174 and PHYS 105, AMES 153 or 154. Students may not receive credit for Math 174 if Math 170A, B, or C has already been taken.) Graduate students will do an extra assignment/exam. "," Math 20D or Math 21D, and either Math 20F or Math 31AH, or consent of instructor."
MATH 175,Numerical Methods for Partial Differential Equations ,4,"(Conjoined with Math 275.) Mathematical background for working with partial differential equations. Survey of finite difference, finite element, and other numerical methods for the solution of elliptic, parabolic, and hyperbolic partial differential equations. (Formerly Math 172. Students may not receive credit for Math 175/275 and Math 172.) Graduate students do an extra paper, project, or presentation, per instructor. "," Math 174 or Math 274, or consent of instructor."
MATH 179,Projects in Computational and Applied Mathematics ,4,"(Conjoined with Math 279.) Mathematical models of physical systems arising in science and engineering, good models and well-posedness, numerical and other approximation techniques, solution algorithms for linear and nonlinear approximation problems, scientific visualizations, scientific software design and engineering, project-oriented. Graduate students will do an extra paper, project, or presentation per instructor. ", Math 174 or Math 274 or consent of instructor.
MATH 180A,Introduction to Probability ,4,"Probability spaces, random variables, independence, conditional probability, distribution, expectation, variance, joint distributions, central limit theorem. (Two units of credit offered for Math 180A if Econ 120A previously, no credit offered if Econ 120A concurrently. Two units of credit offered for Math 180A if Math 183 or 186 taken previously or concurrently.) Prior or concurrent enrollment in Math 109 is highly recommended. "," Math 20C or Math 31BH, or consent of instructor."
MATH 180B,Introduction to Stochastic Processes I ,4,"Random vectors, multivariate densities, covariance matrix, multivariate normal distribution. Random walk, Poisson process. Other topics if time permits. "," Math 20D and either Math 18 or Math 20F or Math 31AH, and Math 109, and Math 180A. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 180C,Introduction to Stochastic Processes II ,4,"Markov chains in discrete and continuous time, random walk, recurrent events. If time permits, topics chosen from stationary normal processes, branching processes, queuing theory. ", Math 180B or consent of instructor.
MATH 181A,Introduction to Mathematical Statistics I ,4,"Multivariate distribution, functions of random variables, distributions related to normal. Parameter estimation, method of moments, maximum likelihood. Estimator accuracy and confidence intervals. Students completing Econ 120A instead of Math 180A must obtain consent of instructor to enroll. Prior or concurrent enrollment in Math 109 is highly recommended. "," Math 180A, and Math 18 or Math 20F or Math 31AH, and Math 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 181B,Introduction to Mathematical Statistics II ,4,"Hypothesis testing. Linear models, regression, and analysis of variance. Goodness of fit tests. Nonparametric statistics. Two units of credit offered for Math 181B if Econ 120B previously; no credit offered if Econ 120B concurrently. Prior enrollment in Math 109 is highly recommended. ", Math 181A or consent of instructor.
MATH 181C,Mathematical StatisticsNonparametric Statistics ,4,"Topics covered may include the following: classical rank test, rank correlations, permutation tests, distribution free testing, efficiency, confidence intervals, nonparametric regression and density estimation, resampling techniques (bootstrap, jackknife, etc.) and cross validations. Prior enrollment in Math 109 is highly recommended. ", Math 181B or consent of instructor.
MATH 181E,Mathematical StatisticsTime Series ,4,"Analysis of trends and seasonal effects, autoregressive and moving averages models, forecasting, informal introduction to spectral analysis. ", Math 181B or consent of instructor.
MATH 183,Statistical Methods ,4,"Introduction to probability. Discrete and continuous random variablesbinomial, Poisson and Gaussian distributions. Central limit theorem. Data analysis and inferential statistics: graphical techniques, confidence intervals, hypothesis tests, curve fitting. (Credit not offered for Math 183 if Econ 120A, ECE 109, MAE 108, Math 181A, or Math 186 previously or concurrently taken. Two units of credit offered for Math 183 if Math 180A taken previously or concurrently.) "," Math 20C or Math 31BH, or consent of instructor."
MATH 184A,Combinatorics ,4,Introduction to the theory and applications of combinatorics. Enumeration of combinatorial structures. Ranking and unranking. Graph theory with applications and algorithms. Recursive algorithms. Inclusion-exclusion. Generating functions. Polya theory. , Math 31CH or Math 109 with a grade of C or better. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 185,Introduction to Computational Statistics ,4,"Statistical analysis of data by means of package programs. Regression, analysis of variance, discriminant analysis, principal components, Monte Carlo simulation, and graphical methods. Emphasis will be on understanding the connections between statistical theory, numerical results, and analysis of real data. Recommended preparation: exposure to computer programming (such as CSE 5A, CSE 7, or ECE 15) highly recommended. "," Math 11, or Math 181A, or Math 183, or Math 186, or MAE 108, or ECE 109, or Econ 120A, and either Math 18 or Math 20F or Math 31AH, and Math 20C. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 186,Probability and Statistics for Bioinformatics ,4,"This course will cover discrete and random variables, data analysis and inferential statistics, likelihood estimators and scoring matrices with applications to biological problems. Introduction to Binomial, Poisson, and Gaussian distributions, central limit theorem, applications to sequence and functional analysis of genomes and genetic epidemiology. (Credit not offered for Math 186 if Econ 120A, ECE 109, MAE 108, Math 181A, or Math 183 previously or concurrently. Two units of credit offered for Math 186 if Math 180A taken previously or concurrently.) "," Math 20C or Math 31BH, or consent of instructor."
MATH 187A,Introduction to Cryptography ,4,An introduction to the basic concepts and techniques of modern cryptography. Classical cryptanalysis. Probabilistic models of plaintext. Monalphabetic and polyalphabetic substitution. The one-time system. Caesar-Vigenere-Playfair-Hill substitutions. The Enigma. Modern-day developments. The Data Encryption Standard. Public key systems. Security aspects of computer networks. Data protection. Electronic mail. Recommended preparation: programming experience. Renumbered from Math 187. Students may not receive credit for both Math 187A and 187. , none.
MATH 187B,Mathematics of Modern Cryptography ,4,"The object of this course is to study modern public key cryptographic systems and cryptanalysis (e.g., RSA, Diffie-Hellman, elliptic curve cryptography, lattice-based cryptography, homomorphic encryption) and the mathematics behind them. We also explore other applications of these computational techniques (e.g., integer factorization and attacks on RSA). Recommended preparation: Familiarity with Python and/or mathematical software (especially SAGE) would be helpful, but it is not required. ", Math 187 or Math 187A and Math 18 or Math 31AH or Math 20F. Students who have not completed listed prerequisites may enroll with consent of instructor.
MATH 189,Exploratory Data Analysis and Inference ,4,"An introduction to various quantitative methods and statistical techniques for analyzing datain particular big data. Quick review of probability continuing to topics of how to process, analyze, and visualize data using statistical language R. Further topics include basic inference, sampling, hypothesis testing, bootstrap methods, and regression and diagnostics. Offers conceptual explanation of techniques, along with opportunities to examine, implement, and practice them in real and simulated data. "," Math 18 or Math 20F or Math 31AH, and Math 20C and one of BENG 134, CSE 103, ECE 109, Econ 120A, MAE 108, Math 180A, Math 183, Math 186, or SE 125. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 190,Introduction to Topology ,4,"Topological spaces, subspaces, products, sums and quotient spaces. Compactness, connectedness, separation axioms. ", Math 31CH or Math 140A. Students who have not completed prerequisites may enroll with consent of instructor.
MATH 191,Topics in Topology ,4,"Topics to be chosen by the instructor from the fields of differential algebraic, geometric, and general topology. ", Math 190 or consent of instructor.
MATH 193A,Actuarial Mathematics I ,4,Probabilistic Foundations of Insurance. Short-term risk models. Survival distributions and life tables. Introduction to life insurance. ," Math 180A or Math 183, or consent of instructor."
MATH 193B,Actuarial Mathematics II ,4,Life Insurance and Annuities. Analysis of premiums and premium reserves. Introduction to multiple life functions and decrement models as time permits. , Math 193A or consent of instructor.
MATH 194,The Mathematics of Finance ,4,"Introduction to the mathematics of financial models. Basic probabilistic models and associated mathematical machinery will be discussed, with emphasis on discrete time models. Concepts covered will include conditional expectation, martingales, optimal stopping, arbitrage pricing, hedging, European and American options. "," Math 20D, and either Math 18 or Math 20F or Math 31AH, and Math 180A. Students who have not completed listed prerequisites may enroll with consent of instructor. Students completing Econ 120A instead of Math 180A must obtain consent of instructor to enroll."
MATH 195,Introduction to Teaching in Mathematics ,4,Students will be responsible for and teach a class section of a lower-division mathematics course. They will also attend a weekly meeting on teaching methods. (Does not count toward a minor or major.) , consent of instructor.
MATH 196,Student Colloquium ,1,A variety of topics and current research results in mathematics will be presented by guest lecturers and students under faculty direction. May be taken for P/NP grade only. , upper-division status.
MATH 197,Mathematics Internship ,2 or 4,"An enrichment program which provides work experience with public/private sector employers. Subject to the availability of positions, students will work in a local company under the supervision of a faculty member and site supervisor. Units may not be applied toward major graduation requirements. "," completion of ninety units, two upper-division mathematics courses, an overall 2.5 UC San Diego GPA, consent of mathematics faculty coordinator, and submission of written contract. Department stamp required."
